aging_related,theoretical_conceptual,review_type,country,draws_from_education_aghe,draws_from_bss,draws_from_biosci,draws_from_hs,draws_from_srpp,draws_from_humanities,empirical,qualitative,uses_interviews,uses_observation,uses_focus_groups,uses_content_review,quantitative,uses_secondary_data,uses_primary_data,other_quant_method,mixed_methods,other_method,Unnamed: 0,sample_size,sample_race_ethnicity,sample_gender_group,sample_sexual_orientation,sample_gender_identity,sample_age,aging_concepts_term
1,0,0,,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,,,,,0,65 years and older,successful aging
1,0,0,,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,,,,,0,older adults,successful aging
1,0,0,,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,"[demographic_composition_pair(category='Asian', percentage=None)]","[demographic_composition_pair(category='male', percentage=44.0), demographic_composition_pair(category='female', percentage=56.0)]",,,0,65 to ≥80,successful aging
1,0,1,,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,,,,,0,populations aged ≥ 45 years,successful aging
1,0,1,,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,,,,,0,older adults,"successful aging, healthy longevity"
1,0,0,CHINA,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,,,,,0,older adults,successful aging
1,0,0,,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,,,,,0,older adults,"healthy aging, successful aging"
1,0,0,,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,,"[demographic_composition_pair(category='women', percentage=51.0)]",,,0,older adults,successful aging
1,0,0,,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,0,older patients,successful aging
1,0,0,,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,0,older adults,successful aging
1,0,0,,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,,,,,0,56-68,"productive aging, successful aging"
1,0,0,,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,,"[demographic_composition_pair(category='women', percentage=None)]",,,0,"36–44 years old (women), 9–10 months old (mice)",reproductive aging
1,0,0,,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,,,,,0,older adults,productive aging
